sample_id,stratum_name,cl250,cl500
764,apartment_block,1,1
765,apartment_block,1,1
766,apartment_block,1,1
767,apartment_block,1,1
768,apartment_block,1,1
769,apartment_block,1,1
770,apartment_block,1,1
771,apartment_block,1,1
772,apartment_block,1,1
773,apartment_block,1,1
774,apartment_block,1,1
775,apartment_block,2,2
776,apartment_block,4,2
777,apartment_block,1,1
778,apartment_block,1,1
779,apartment_block,1,1
780,apartment_block,1,1
781,apartment_block,1,1
782,apartment_block,1,1
783,apartment_block,1,1
784,apartment_block,1,1
785,apartment_block,1,1
786,apartment_block,1,1
787,apartment_block,1,1
788,apartment_block,1,1
789,apartment_block,1,1
790,apartment_block,1,1
791,apartment_block,1,1
792,apartment_block,1,1
793,apartment_block,1,1
794,apartment_block,1,1
795,apartment_block,2,2
796,apartment_block,2,2
797,apartment_block,2,2
798,apartment_block,2,2
799,apartment_block,2,2
800,apartment_block,2,2
801,apartment_block,1,1
802,apartment_block,1,1
803,apartment_block,1,1
804,apartment_block,1,1
805,apartment_block,1,1
806,apartment_block,1,1
807,apartment_block,1,1
808,apartment_block,1,1
809,apartment_block,1,1
810,apartment_block,1,1
811,apartment_block,1,1
812,apartment_block,1,1
813,apartment_block,1,1
814,apartment_block,1,1
815,apartment_block,1,1
816,apartment_block,1,1
817,apartment_block,2,2
818,apartment_block,2,2
819,apartment_block,2,2
820,apartment_block,2,2
821,apartment_block,4,3
822,apartment_block,1,1
823,apartment_block,1,1
824,apartment_block,1,1
825,apartment_block,1,1
826,apartment_block,2,1
827,apartment_block,1,1
828,apartment_block,1,1
829,apartment_block,1,1
830,apartment_block,1,1
831,apartment_block,1,1
832,apartment_block,1,1
833,apartment_block,2,2
834,apartment_block,2,2
835,apartment_block,2,2
836,apartment_block,1,1
837,apartment_block,1,1
838,apartment_block,1,1
839,apartment_block,1,1
840,apartment_block,1,1
841,apartment_block,1,1
842,apartment_block,1,1
843,apartment_block,1,1
844,apartment_block,1,1
845,apartment_block,1,1
846,apartment_block,1,1
847,apartment_block,1,1
848,apartment_block,1,1
849,apartment_block,2,2
850,apartment_block,2,2
851,apartment_block,2,2
852,apartment_block,1,1
853,apartment_block,1,1
854,apartment_block,1,1
855,apartment_block,2,2
856,apartment_block,2,2
857,apartment_block,2,1
858,apartment_block,1,1
859,apartment_block,1,1
860,apartment_block,1,1
861,apartment_block,1,1
862,apartment_block,1,1
863,apartment_block,2,2
864,apartment_block,2,2
865,apartment_block,1,1
866,apartment_block,1,1
867,apartment_block,1,1
868,apartment_block,1,1
869,apartment_block,1,2
870,apartment_block,1,1
871,apartment_block,1,1
872,apartment_block,1,1
873,apartment_block,1,1
874,apartment_block,1,1
875,apartment_block,1,1
876,apartment_block,1,1
877,apartment_block,1,1
878,apartment_block,2,2
879,apartment_block,1,1
880,apartment_block,1,1
881,apartment_block,1,1
882,apartment_block,1,1
883,apartment_block,1,1
884,apartment_block,1,1
885,apartment_block,1,1
886,apartment_block,1,1
887,apartment_block,1,1
888,apartment_block,1,1
889,apartment_block,1,1
890,apartment_block,1,1
891,apartment_block,2,1
892,apartment_block,1,1
893,apartment_block,1,1
894,apartment_block,1,1
895,apartment_block,2,2
896,apartment_block,2,1
897,apartment_block,1,1
898,apartment_block,1,1
899,apartment_block,1,1
900,apartment_block,1,1
901,apartment_block,1,1
902,apartment_block,1,1
903,apartment_block,1,1
904,apartment_block,1,1
905,apartment_block,1,1
906,apartment_block,1,1
907,apartment_block,1,1
908,apartment_block,1,1
909,apartment_block,1,1
910,apartment_block,1,1
911,apartment_block,1,1
912,apartment_block,1,1
913,apartment_block,2,2
914,apartment_block,2,2
915,apartment_block,2,1
916,apartment_block,1,2
917,apartment_block,1,1
918,apartment_block,1,1
919,apartment_block,1,1
920,apartment_block,1,1
921,apartment_block,1,1
922,apartment_block,1,1
923,apartment_block,1,1
924,apartment_block,1,1
925,apartment_block,1,1
926,apartment_block,1,1
927,apartment_block,1,1
928,apartment_block,1,1
929,apartment_block,2,1
930,apartment_block,2,1
931,apartment_block,2,1
932,apartment_block,2,2
933,apartment_block,2,1
934,apartment_block,2,2
935,apartment_block,2,2
936,apartment_block,1,1
937,apartment_block,1,1
938,apartment_block,1,1
939,apartment_block,1,1
940,apartment_block,1,1
941,apartment_block,1,1
942,apartment_block,4,2
943,apartment_block,2,1
944,apartment_block,2,1
945,apartment_block,4,3
946,apartment_block,4,2
947,apartment_block,3,3
948,apartment_block,1,1
949,apartment_block,1,1
950,apartment_block,1,1
951,apartment_block,1,1
952,apartment_block,1,1
953,apartment_block,1,1
954,apartment_block,1,1
955,apartment_block,1,1
956,apartment_block,1,2
957,apartment_block,4,2
958,apartment_block,2,2
959,apartment_block,1,1
960,apartment_block,4,2
961,apartment_block,1,1
962,apartment_block,1,1
963,apartment_block,4,2
964,apartment_block,4,2
965,apartment_block,1,1
966,apartment_block,1,1
967,apartment_block,4,2
968,apartment_block,2,2
969,apartment_block,1,1
970,apartment_block,2,1
971,apartment_block,1,1
972,apartment_block,1,1
973,apartment_block,1,1
974,apartment_block,1,1
975,apartment_block,2,2
976,apartment_block,2,2
977,apartment_block,2,2
978,apartment_block,2,2
979,apartment_block,2,2
980,apartment_block,4,2
981,apartment_block,4,2
982,apartment_block,2,2
983,apartment_block,1,1
984,apartment_block,1,1
985,apartment_block,1,1
986,apartment_block,1,1
987,apartment_block,1,1
988,apartment_block,1,1
989,apartment_block,1,1
990,apartment_block,1,1
991,apartment_block,1,1
992,apartment_block,1,1
993,apartment_block,1,1
994,apartment_block,1,1
995,apartment_block,1,1
996,apartment_block,1,2
997,apartment_block,2,2
998,apartment_block,4,3
999,apartment_block,2,2
1000,apartment_block,2,2
1001,apartment_block,2,2
1002,apartment_block,4,2
1003,apartment_block,4,2
1004,apartment_block,2,2
1005,apartment_block,2,2
1006,apartment_block,2,1
1007,apartment_block,2,1
1008,apartment_block,2,1
1009,apartment_block,2,1
